N,M,Alpha,Max_Iterations,Converged,Iterations_To_Converge,Delta_max,Delta_convergence,Random_seed
1001,300,0.2997002997002997,10000,True,855,25,25,1200
1001,300,0.2997002997002997,10000,True,838,25,25,1201
1001,300,0.2997002997002997,10000,True,892,21,21,1202
1001,300,0.2997002997002997,10000,True,886,25,25,1203
1001,300,0.2997002997002997,10000,True,895,25,25,1204
1001,300,0.2997002997002997,10000,True,949,23,23,1205
1001,300,0.2997002997002997,10000,True,865,25,25,1206
1001,300,0.2997002997002997,10000,True,901,23,23,1207
1001,300,0.2997002997002997,10000,True,888,25,25,1208
1001,300,0.2997002997002997,10000,True,885,25,25,1209
1001,300,0.2997002997002997,10000,True,1493,-33,-61,1210
1001,300,0.2997002997002997,10000,True,946,23,23,1211
1001,300,0.2997002997002997,10000,True,867,25,25,1212
1001,300,0.2997002997002997,10000,True,928,23,23,1213
1001,300,0.2997002997002997,10000,True,903,21,21,1214
1001,400,0.3996003996003996,10000,True,1398,-49,-55,1300
1001,400,0.3996003996003996,10000,True,971,15,15,1301
1001,400,0.3996003996003996,10000,True,831,17,17,1302
1001,400,0.3996003996003996,10000,True,1356,-53,-73,1303
1001,400,0.3996003996003996,10000,True,857,15,15,1304
1001,400,0.3996003996003996,10000,True,796,15,15,1305
1001,400,0.3996003996003996,10000,True,900,19,19,1306
1001,400,0.3996003996003996,10000,True,1177,15,15,1307
1001,400,0.3996003996003996,10000,True,873,15,15,1308
1001,400,0.3996003996003996,10000,True,883,15,15,1309
1001,400,0.3996003996003996,10000,True,891,15,15,1310
1001,400,0.3996003996003996,10000,True,1392,-51,-65,1311
1001,400,0.3996003996003996,10000,True,869,15,15,1312
1001,400,0.3996003996003996,10000,True,906,15,15,1313
1001,400,0.3996003996003996,10000,True,913,19,19,1314
1001,500,0.4995004995004995,10000,True,873,9,9,1500
1001,500,0.4995004995004995,10000,True,953,7,7,1501
1001,500,0.4995004995004995,10000,True,791,9,9,1502
1001,500,0.4995004995004995,10000,True,1435,-65,-77,1503
1001,500,0.4995004995004995,10000,True,1398,-59,-75,1504
1001,500,0.4995004995004995,10000,True,898,9,9,1505
1001,500,0.4995004995004995,10000,True,902,9,9,1506
1001,500,0.4995004995004995,10000,True,845,11,11,1507
1001,500,0.4995004995004995,10000,True,918,9,9,1508
1001,500,0.4995004995004995,10000,True,863,7,7,1509
1001,500,0.4995004995004995,10000,True,931,9,9,1510
1001,500,0.4995004995004995,10000,True,1384,-53,-69,1511
1001,500,0.4995004995004995,10000,True,1401,9,9,1512
1001,500,0.4995004995004995,10000,True,921,7,7,1513
1001,500,0.4995004995004995,10000,True,877,7,7,1514
1001,600,0.5994005994005994,10000,True,848,5,5,1600
1001,600,0.5994005994005994,10000,True,880,3,3,1601
1001,600,0.5994005994005994,10000,True,821,5,5,1602
1001,600,0.5994005994005994,10000,True,897,3,3,1603
1001,600,0.5994005994005994,10000,True,765,3,3,1604
1001,600,0.5994005994005994,10000,True,912,3,3,1605
1001,600,0.5994005994005994,10000,True,838,5,5,1606
1001,600,0.5994005994005994,10000,True,899,3,3,1607
1001,600,0.5994005994005994,10000,True,887,5,5,1608
1001,600,0.5994005994005994,10000,True,828,3,3,1609
1001,600,0.5994005994005994,10000,True,895,5,5,1610
1001,600,0.5994005994005994,10000,True,1358,-51,-67,1611
1001,600,0.5994005994005994,10000,True,866,5,5,1612
1001,600,0.5994005994005994,10000,True,901,5,5,1613
1001,600,0.5994005994005994,10000,True,989,3,3,1614
1001,700,0.6993006993006993,10000,True,846,-1,-1,1700
1001,700,0.6993006993006993,10000,True,815,1,1,1701
1001,700,0.6993006993006993,10000,True,999,-1,-45,1702
1001,700,0.6993006993006993,10000,True,927,-1,-1,1703
1001,700,0.6993006993006993,10000,True,953,-1,-3,1704
1001,700,0.6993006993006993,10000,True,814,1,1,1705
1001,700,0.6993006993006993,10000,True,826,-1,-1,1706
1001,700,0.6993006993006993,10000,True,774,1,1,1707
1001,700,0.6993006993006993,10000,True,833,-1,-1,1708
1001,700,0.6993006993006993,10000,True,873,-1,-1,1709
1001,700,0.6993006993006993,10000,True,936,-1,-1,1710
1001,700,0.6993006993006993,10000,True,861,-1,-1,1711
1001,700,0.6993006993006993,10000,True,919,-1,-1,1712
1001,700,0.6993006993006993,10000,True,839,-3,-1,1713
1001,700,0.6993006993006993,10000,True,1368,-47,-69,1714
